Оценка;Отзыв
2;О моей коже: молодая, комбинированная, проблемная. Взяла эту маску из интереса и разочаровалась. Сама маска имеет жирную кремовую текстуру с гранулами, которые в процессе нанесения растворяются и окрашивают маску в желтый цвет. По окончании мы получаем мягкую, бархатистую кожу. Заявленного эффекта очищения и контроля жирности нет. Можно взять на пробу, но не возлагать особых надежд.
5;У этой маски отличная консистенция, не растекается в разные стороны. После применения приятная гладкая кожа.
5;Маска хорошая, питает, уавлажняет, никакого раздражения нет.
5;Прекрасная маска! Увлажняет, освежает лицо.
2;Продукт не понравился, это обычная очищающая маска, не избавляет от черных точек, воздействует поверхностно, соотношение цена-качество невыгодное, за данную сумму можно найти более эффективное средство. Из положительных характеристик могу назвать ненавящивый запах, отсутствие аллергических реакций, в коробочке в комплекте идет стик для нанесения маски.
5;Многоплановая по функциям и воздействию крем-маска.Во-первых можно  её  использовать как  крем, который помогает коже очиститься  от возникающих  покраснений и воспалений (в составе маски  есть ромащка и зеленая фасоль, которые  отлично с этим  справляются), во-вторых  данный продукт  можно использовать как подтягивающую за ночь маску, впитывающуюся быстро как  обычный крем- в составе  есть ретино...
5;Маска неплохая. После нее чёрные точки меньше видно и поры немного сузились. Так же осветлил немного виснушки. Лицо посвежело немного. Консистенция нулевая, приятная. Также там присутствуют кусочки травы. Запах приятный
5;От ELIZAVECCA пробовала много масок, почти все понравились. Эта выделяется выраженным подтягивающим эффектом.
5;Маска хорошая, освешает и тонизирует.  Очень понравилась.
4;Хорошая маска, приятно пахнёт, начала пользоваться недавно поэтому не могу сказать о результате, а так никаких претензий нет.
4;"Для возрастной кожи такие питательные и увлажняющие масочки отлично подходят!
Она кремовая, средней текстуры, не течёт. Хорошо распределяется, как обычный плотный крем.  Удобный мягкий пакетик, можно использовать до последней капли. Лёгкий, приятный аромат. Конечно особого омоложения я не заметила, но питает и увлажняет неплохо!"
5;Маска понравилась, действительно омолаживает кожу, делает ее более упругой, устраняет мелкие морщинки, при этом не стягивает кожу.
4;Немного игрушечная маска, какого-то выраженного эффекта не заметила. Успокаивает и немного увлажняет. Но пахнет очень вкусно клюквой. Консистенция гелевая, при подсыхании образует пленочку, но она не снимается как пленочная маска, надо смывать. Флакон огонь, стеклянный, с дозатором.
5;Неожиданный восторг! Упаковочку разлелила на два применения, маленькая да удаленькая, кожа отдохнувшая, приятное оздоровление. Беру еще, и побольше.
4;"Неплохая очищающая маска!
Текстура у неё кремовая, не жидкая. Понравилось, что при высыхании она не застывает на лице и её не надо постоянно увлажнять и чем то сбрызгивать. Хоть и содержит глину.
Снимается она без проблем. В результате получаем очищенную кожу, уменьшается жирный блеск и немного суженые поры. Ничего особенного она конечно не делает, но в принципе неплохая маска, на 4ку"
5;Маска прекрасно и достаточно быстро увлажняет, питает кожу, делает ее более сияющей и ухоженной, устраняет сухость и даже разглаживает мелкие морщинки.
4;Приятный, довольно легкий крем, увлажняет, оставляет влажный сияющий финиш. Пахнет бананом, как и остальные представители серии. Запах не резкий и ненавязчивый.
5;Классная маска с эффектом холодка. Хорошо освежает и тонизирует.
5;Маской пользовалась два раза, результат потрясающий! Кожа у меня проблемная, сухая. После маски кожа увлажнена, цвет лица выравнивается, кожа не шелушится и не сохнет даже после мытья, эффект держится долго. Стал проходить купироз, на лбу разгладились морщинки. Очень советую, не пожалеете.
4;Не очень поняла эту маску. Вроде неплохая, а вроде бы и средненькая. Еще раз не возьму)
5;"Стала обращать внимание на содержание в косметике экстрактов жемчуга или жемчужной пудры. В корейской косметике они чаще встречаются. 
Экстракт жемчуга чаще всего встречается в антивозратной косметике. Делается этого для того, что усилить обновление стареющей кожи, привести в тонус и сделать ее более эластичной. Не зря говорят, что Жемчужное ожерелье украшает образ, а жемчужная косметика - лицо. 
..."
5;Я эту маску использую на ночь, особенно после тяжёлого рабочего дня. С одного раза морщины не уберёт, но вместе с кремом с муцином улитки эффект бомбический. Усталость снимает, утром кожа свежее и мягче.
5;Алоэ не может быть плохим, с этой маской так же. Может это самовнушение, но моя кожа очень порадовалась.
5;Пожалела, что не заказала еще парочку таких масок. Ощущения подтянутости, снимает усталость, не липкая.
5;Собрала все маски этой фирмы . Пользуюсь всеми. Приятный запах, нежный кокосовый и пломбира, хочется съесть ее. Красивая приятная баночка розового цвета. Экономичный расход. Советую!!
5;"Мне понравилось, что это средство не сушит кожу. Редко найдешь такую очищающую маску. 
У неё приятный запах, не чувствуется химозности и классно лопаются пузырьки. Кожа после неё матовая, не скрипит, даже уменьшает покраснения, поэтому рекомендую."
5;Очень понравилась маска. Хорошее удобное лекало, пропитки достаточно. Выдерживаю на лице обычно около 10 минут, больше не советую, ибо маска потом начнет забирать влагу из кожу. После процедуры остатки смываю. Кожа напитанная, сияет. Вообще у марки dizao очень достойные продукты. Рекомендую.
5;Запах потрясный. Легкий и ненавязчивый. Эффективно очищает поры. Приятная гелевая текстура хорошо наносится, не стекает. В дальнейшем дополню отзыв.
5;"Скраб для лица - это очищающее средство, в составе которого есть абразивные вещества для шлифовки верхнего слоя кожи. После такой процедуры кожа становится нежной и гладкой, улучшается кровоснабжение, в результате мимические морщины становятся менее заметными.
Скрабы избавляют от отмерших клеток, глубоко очищают, увлажняют и питают кожу, улучшают цвет лица. Чтоб получить от них максимальный эффект..."
5;не знаю, как там с угрями и прыщами, слава богу у меня их нет, но маска увлажняет хорошо, кожа написанная. я люблю тканевые маски и пробую разные и много, эту закажу еще раз хорошая.
5;"Тканевая маска для лица с экстрактом помогает быстро освежить, увлажнить и тонизировать кожу лица, а также быстро снять отечность. Огурец содержит множество полезных веществ. Он помогает избавиться от пигментации. 
Эту информацию я нашла на разовой упаковке тканевой маски для лица с экстрактом огурца FarmStay. И это не русскоязычная наклейка, как обычно приклеенная на пакете с обратной стороны, а ..."
5;Впервые попробовала данную маску и мне маска понравилась. Я вообще люблю пользоваться тканевыми масками для лица, приятное дополнение к основному уходу за кожей. Мне немного непонятно для чего производитель сделал маску двойной, то есть наносишь маску белой стороной на лицо, а после синий слой снимаешь. Если честно, я использовала эту маску дважды, просто убрала этот синий слой маски в упаковку, в...
5;У марки Cosima очень не плохие, бюджетные маски для лица. Мне понравилась данная маска с муцином улитки. Конечно, никакие глубокие возрастные или мимические морщины она не разгладит, но не большие, не глубокие морщинки вполне может засчет увлажнения кожи. Она действительно хорошо увлажняет и смягчает кожу, делая ее нежной и гладкой.  Мне данного эффекта вполне достаточно.
5;Очень не плохая маска за свою стоимость. Не надо ждать от нее каких-то чудес, но со своей задачей она справляется: после ее применения кожа напитана и увлажнена, есть не большая липкость, но через какое-то время она проходит. Никакого дискомфорта или чувства стянутости. Делала ее уже несколько раз, когда нужно быстро слегка оживить и немного подпитать кожу, результатом довольна. Но если кожа очень...
5;гидрогелевые маски-спасение в сухую погоду. Всегда храню их в холодильнике, мне кажется, так эффект получше. После этой маски кожа прямо шелковистая, приятная.
5;"Маска для лица - это средство быстрого реагирования на сухость кожи, обезвоженность кожи и тусклый цвет лица. А еще они в экспресс режиме могут уменьшить морщины и скрыть признаки усталости. Маски направлены на быстрый и целенаправленный эффект.
К примеру, если любое другое средство для проблемной кожи работает на перспективу, то очищающая маска освобождает кожу всего за один сеанс. 
Или увлажняющ..."
3;В комплекте были маска тканевая и бальзам для губ, маска нормалная, а бальзам не понравильлся неприятный химический запах.
5;Девочки, какая Она классная! Восторгу моему не было предела! Раньше тканевыми масками я не пользовалась вообще, от слова Совсем!)) Решила попробовать именно Эту, почему не щнаю, чутье вероятно сработало)) Реально подтягивает, выравнивает, морщин как и нет...серьезно. Мне 46, но когда доча увидела мое лицо сразу после снятия, ахнула) Беру однозначно еще несколько! Теперь о самой масочке. Мягкая, ср...
5;Эта маска - то, что нужно, чтобы поднять настроение! Она яркого красно-оранжевого цвета, пахнет нежно и сладко, и в то же время я чувствую перечные нотки. По консистенции средней густоты, кремообразная, на лице не течет. Печь начинает почти сразу после нанесения, но терпимо. Бежать и смывать ее сразу же не хочется. Кстати, если у вас купероз, будьте осторожны! Такие средства могут усугубить ситуац...
5;Ставлю 5 за очень крутой дизайн, дополню отзыв как только попробую маску. Чувствуется, что сыворотки много внутри, если пощупать. Цена очень радует, если понравится буду заказывать
4;Снизила оценку за не самую аккуратную упаковку - края немного странновато обрезаны. Сделано в Корее, сзади все на корейском и английском, есть наклейка на русском. Будем пробовать, возможно закажу ещё, из-за доступной цены.
5;Маска дает отличный эффект уже после первого применения, прекрасно увлажянет, питает кожу, разглаживает небольшие морщинки, отличное экспресс-средство.
5;Люблю маски-плёнки вообще. Этот продукт понравился тем, что снимается мягко, не удаляя растительность с лица. Застывает не быстро, поэтому наносить рекомендую максимально тонким слоем (лучше кистью). Но эффект великолепный: поры очищены и даже несколько сужены, свежесть бесподобная и сохраняется она значительно. Рекомендую попробовать, особенно в жару.
5;Это вау! Цвет у маски темно зелёный , запах пряный, очень похожа на японскую горчицу васаби. После нанесения становится светлее. Обладает распаривающим эффектом, содержит гранулы, но с округлыми краями, что позволяет им хорошо отшелушивать кожу, при этом не травмировать кожу. После маски кожа очень мягкая, нежная, все время хочется прикасаться, ни один скраб, ни один пилинг не давал мне подобного ...
5;Потрясающая маска, дает очень хороший эффект, прекрасно подтягивает кожу.
4;"Для нас, российских женщин, корейские девушки - это вечно молодые и прекрасные дамы. На их лице невозможно найти хоть одну морщину или несовершенство. 
Каждая из нас хочет достичь такого же совершенства. Поэтому корейский уход стал у нас настолько популярным. Из огромного ассортимента ухаживающих средств можно найти и тканевые маски. 
В последнее время эти маски стали частыми гостями моей косметич..."
5;Отличная маска. Увлажняет, освежает, снимает отечность, у меня она и без холодильника оставалась холодненькой, подарив коже прохладу и заряд тонуса. Эссенция хорошо впитывается, лицо после маски не липкое, матовое, но увлажненное.
5;Хорошая тканевая маска с приятным, нежным и успокаивающим запахом лаванды, получается и уход и ароматерапия. Состав очень хорошо впитывается в кожу, не оставляя липкости и делая лицо матовым. Единственный минус - недостаточное увлажнение.
5;Белорусская косметика - моя любимая) Маску-скраб заказала первый раз и она очень понравилась. Заявленные характеристики полностью соответствуют. Товар рекомендую к покупке.
5;Крем распаривает отлично и после него кожа действительно чище.У меня комби кожа и проблемная.Мне 46 лет Я думала,что он не справится с задачей,которую я на него возлагала Оказалось даже наоборот.После этого крема как-будто с кожи сняли слой грязи.Крем работает.!!!После умывания,тоника,использовала не менее работающий крем.Девочки не пожалеете, берите.Аомодкт обязательно.Советуб,работает на 100%.Не...
5;Спасибо за продукт.Работает отлично.У меня комби кожа и мне 46 лет. Даже на моей коже он отлично справился со своей задачей.
5;Люблю маски от Елизавеки. Очень питательная, приятная. Обычно пользуюсь на ночь, а на утро кожа заметно ровнее и сежее.
5;Освежает, немного убирает неровности. Если подержать в холодильнике перед применением, действует еще лучше.
5;Отличная маска, дает заметный эффект уже после первого применения, идеально подойдет  и как курсовой уход, и как экспресс-средство.
5;Маска супер! Она массажная, после нанесения массирую кожу лица несколько минут, потом необходимо подержать минут 15 и смыть. Кожа становится неузнаваемой, как будто обновленная. Моя любимица теперь!
5;Взяла на пробу две гидрогелевые маски, эту и другую из серии, синюю, с агавой. Обе очень понравились, хорошее, удобное лекало, хорошо увлажняют кожу, выравнивают тон лица. Сыворотка после того, как убираю маску, хорошо впитывается, не оставляет на лице противной липкости. В общем, хорошие продукты, очень понравились, довольна покупкой, советую
5;Впервые попробовала гидрогелевую маску для лица, обычно такими бывают только патчи. Лекало плотное и очень хорошо обхватывает лицо, тем не менее, я всегда лежу, когда наношу маску на лицо, ибо законы гравитации работают против нас. Отлично увлажняет кожу, немного осветляет, охлаждающий эффект действительно есть, но он несильный
5;Это лучшая маска из тех, которые я попробовала. Идеально подошла моей коже. Аллергической реакции не вызвала. Здорово напитала мою кожу, в составе есть гиалуроновая кислота и муцион улитки, который помогает коже не увядать,подтягивает контур лица. Отличное лекало, хорошо пропитанное, остатки нанесла на кожу. Запах присутствует нежный, мягкий, ненавязчивый. Качественная, достойная упаковка. Пришло ...
3;По идее маска должна намертво прилипнуть к лицу и отлипнуть только вместе с черными точками, но этого не происходит. Запах лимонный (зачем?), особо не сушит, весьма приятная, на том спасибо. От одежды не отмывается. Короче зачем эта маска существует не очень понятно)) объем, кстати, очень мелкий, это тоже хорошо, не жалко выкинуть наполовину использованной
5;Хорошая, увлажняющая маска. Но большего эффекта от нее ждать не стоит.
5;Попробовала маску. Приятная, питательная, увлажняет отлично. После её использования чувствуется свежесть. Не могу не отметить, что моим детям очень понравился дизайн, весёленький и очень оригинальный. Рекомендую
5;Очень приятная маска, лицо после неё сияющее, кожа гладкая и нежная! Плюс приятный аромат!
5;Маска создаёт лёгкий охлаждающий эффект, однозначно очищает поры. А также я заметила что кожа лица стала более подтянутой.
5;Отличная маска!У меня комби кожа,после применения кожа стала чище,подтянулась,воспаления ушли.В течении дня меньше кожа блестела,мне понравилась,советую!
5;"Буквально на днях использовала эту маску. Что я скажу - маска вполне неплохая, но не 10/10 . 
Из минусов: липкий и слишком жирный финиш на лице. 
Из плюсов: очень, ОЧЕНЬ увлажняет кожу, тканевая основа очень хорошего качества, как вторая кожа ощущается - тонкая и нежная. Также я заметила, что кожа действительно как-то успокоилась (у меня она проблемная) и смягчилась. 
Я спользовала тканевую маску ..."
5;"Добрый день!
Качественный продукт с отличными свойствами. Ну доставка как всегда не подвела. Приятная, цветная упаковка.
В составе маски есть мед: отличное, пропитанное лекало, держала где-то полчаса, кожа напитанная, увлажненная и матовая после применения. А она у меня супер сухая. Указанные свойства подтверждаю. Еле-еле уловимый запах прусутствует. Аллергической реакции не вызвала. Цена была со ..."
5;После использования маски кожа гладкая, пропало покраснение, и даже сузились поры. Ещё я определенно чувствую увлажненность, а не жирность. Т-зона меньше блестит, и конечно же, лучше ложится тональная основа. Да, это определенно то, что нужно коже в любой сезон.
5;Результат меня удивил, я ничего особо не ждала. Кожа стала матовая, напитана, мелкие морщины исчезли, появился ровный, здоровый тон. Поры стали визуально меньше. Кожа стала выглядеть ухоженнее. Липкости нет. Раздражения не вызвала, высыпаний тоже. В процессе использования маски неприятных ощущений не было.
5;Бентонитовая глина вместе  с  куркумой,  маслом чайного  дерева отлично и  основательно очищают  поры кожи лица,   тщательно  удаляют  и очищают клетки, обладая  при этом антибактериальным  действием,  а  мята с ромашкой и  огурцом освежают, бодрят кожу.  Глина  сама по себе обладает свойствами не  только  очищать, но  и питать, так  как она насыщена  микроэлементами и  витаминами. Очень полезная ...
5;Крутая увлажнающая маска! Легко наносится, имеет приятную отдушку, на вид гелевой консистенции. После смывания кожа бархатная, напитанная и эффект держится несколько дней. Очень довольна покупкой!
4;"Очень люблю натуральную косметику и данный бренд очень люблю за его экологичность)
Насыщенный и натуральный запах лаванды. Использую ее на постоянной основе т.к. эффект не моментальный, а накопительный."
5;Все пришло в целости и сохранности, белорис огромный плюс вам за доставку, за упаковку, ничего не разбивается, прям упаковываете все круто! Что касаемо маски, то внешне очень мило выглядят, как на деле не знаю, брала в подарок, как девочка попробует, обязательно дополню отзыв.
5;Очень поравилась маска! Использовала ее накануне фотосессии. Кожа лица приобрела прекрасный вид. Стала увлажненная и сияющая здоровьем. Так как не было никаких особых проблем, то не могу сказать о воздействии на них. Буду рать еще.
5;Небольшие воспаления маска подсушивает. Кожа после нее становится увлажненная и мягкая.
5;В принципе неплохая маска. Радикально черный цвет, свежий запах, очень приятная консистенция. Ярковыразженный тепловой эффект, первые минуты кожа прям горит, и это очень классно! Не особо заметила эффекта сужения пор, но кожа потом все равно себя очень хорошо чувствует. Единственное, ее бывает сложно смывать, и если недостаточно хорошо очистить кожу, то маска останется в порах. Ну, чернющая маска ...
5;Мвска серого цвета, мягкая, легко наносится. Полностью не высыхает, светлеет, но остаётся пластичной. На мой взгляд, смачивания не требует. Отлично очищает, сужает поры, снимает воспаления. Одна из лучших очищающих масок! Кожу не сушит, раздражения не вызывает. Советую!
5;Маска средней плотности, белого цвета, с легким цветочным ароматом, который довольно долго держится на коже после смывания. При нанесении чувствуются масла, ощущение после нанесения очень приятное. Я хожу с ней не меньше 30 минут, маска почти вся впитывается, остаётся только немного масла, которое смываю тёплой водой. Кожа после неё очень мягкая, шелковая. Отлично смягчает и питает кожу, советую.
3;Я никогда не пользовплась тканевыми масками для лица. Вероятно пришла пора. Прочитав состав и информацию о даннлм продукте, я решила ее заказать, мне 45, поэтому антивозрастной такой уход, думаю будет кстати. Надеюсь булет отлично!)
5;Просто отличная пенка. Чаще использую как маску - эффект нравится больше.
5;Супе маска. Освежает, увлажняет, успокаивает. Мне очень нравится
5;Очень нравится эта масочка! Сама ткань маски очень тоненькая, хорошо ложится на лицо. Лекало удобное, я его только разрезаю на переносице, чтобы удобнее легла на нос и около глаз. Много жидкости. Мне на два раза хватает. Только во второй раз я наношу жидкость уже без маски. Маска тканевая расположена на подложке( видно на фото). Мне нравится , что кожа после нее увлажнена, выровнена. Советую!
5;Маска увлажняет кожу лица, не сказала бы, что пахнет супер, но все другое выполнено на ура. Маска удобна в использовании. Явно у меня в фаворитах.
5;Очень понравилась маска. Ощущения приятные. Сама по себе самая средняя, но поиграться иногда можно)
5;Маски этой серии мне пришлись по душе.У них хорошая пропитка и  лекалло. Маска хорошо увлажняет ,питает придает коже здоровый вид,упругость и элостичность.Не сползает, слегка подтягивает кожу.
5;Просто обожаю такие маски. Отлично увлажняет кожу,улутшает цвет лица.Раздражения не вызвало. Одного пакета мне хватает на лицо,шею и декольте.Наношу на очишенную кожу за час перед сном не смываю.
5;Покупала за 53 рубля. Хорошая цена и маска хорошая. Очень сильно пропитана средством. Лекало нормальное. Аромат не яркий. Увлажняет кожу лица и шеи. Мне нравятся масочки этой серии.
5;Очень нежная консистенция. Лёгкая, не плотная. Быстро впитывается, не оставляет на коже пленку. Экономичный расход. Лифтинг эффект заметен сразу после первого применения.
5;Хорошая маска. Материал приятный, плотный, мягкий, чёрного цвета. Пропитана отлично, сыворотки внутри очень много,это как раз тот случай, когда можно в упаковку опустить прессованную таблетку(основу для маски) и получить ещё одну полноценную маску. Держать нужно 15- 20 минут, я оставила на полчаса и когда снимала, маска все ещё не была сухой. Кожу напитала, мелкие морщинки разгладила, цвет лица вы...
5;Крутая масочка. Бюджетная находка. Хорошее лекало, отлично взаимодействует с кожей. Лицо после неё гладкое, нежное мягкое.
5;"Отличная ночная маска. Не пугайтесь лова маска, по сути это ночной крем. Имеет такую жеконсистенцию как и крем. Ни сколько не утяжеляет кожу. Наносить нужно за 30 минут до сна, следов на подушке не оставляет. Хорошо успокаивает и увлажняет кожу лица.
Для сухой кожи подходит идеально."
5;Маска приятная. Аромат парфюмерный, нежный. Покупала за 40 с небольшим рублей. Жидкость прозрачная и ее много. Хватает ещё и руки и шею. Липкости нет. Кожа после применения нежная и напитаная. Смывать не нужно. Лекало вполне удобное. Советую.
5;Маска желеобразной консистенции, приятная, холода не заметила, но кожа на утро очень приятная после нее. Упаковочки хватило на 4применения. Рекомендую.
5;Очень приятная масочка, много эссенции в упаковке, хватило и на шею, и зону декольте, и даже руки) не щипит, не жжёт, эссенция довольно склизкой консистенции, видимо из-за муцина улитки) после снятия маски распределила остатки лёгким массажем и подвбила пальчиками, поэтому быстро впиталось) сразу после офигенное ощущение на коже-снялось чувство стянутости после использования пилинга, лицо стало уп...
5;Маска с приятным запахом и прекрасно увлажняет сухую кожу
5;Хорошая увлажняющая маска
5;Маска липковатая, я ее смыла после использования. Очень увлажняющая, приятная,кожу напитывает, есть небольшой эффект охлаждения. Никаких реакций не было, но еще раз не возьму - смущает липкость.
5;Замечательная маска. Я удивлена ценой и качеством. Сама упаковка маски большая и яркая. Содержимого 36 мл. Это много девочки. Внутри тканевая маска находилась на подложке ( видно на фото). Сама ткань маски очень тонкая, лекало удобное. Аромат лёгкий растительный. После применения кожа нежная и напитанная влагой. Я сразу после применения положила себе в корзину ещё 3 шт. Супер, супер!!!!
5;Люблю маски этой фирмы. Мама довольна.
2;Есть серия этих кремов, ночная маска и дневной такой же. Полное разочарование для меня, после умывания и протирания тоником крем как скатывался так и скатывается на лице.Я и тоньше слоем пыталась наносить, и пенки для умывания меняла, бесполезно. Скатывается на лице кошмарно, как буд-то грязь, не рекомендую никому. Оценка самая низкая для продукта Лореаль. Достоинств не заметила, он не против морщ...
5;Удивлена, что у этой замечательной маски до сих пор нет отзывов! Я ее обожаю! заказываю сразу несколько штук. 1 пачку использую 2-3 раза, ибо количество сыворотки позволяет. Маска отличается от многих тканевых, и как мне кажется, в лучшую сторону. Во-первых, она тончайшая, просто как вторая кожа! Идеально ложится на лицо и повторяет все его контуры! Во-вторых, приятный аромат. В-третьих, маска нал...
5;Маска сначала удивила своим игрушечным размером, но после нанесения поняла, что расход экономичный и поэтому такой объем вполне оправдан. Лично мне наносить удобно пальцами,  поскольку маска представляет собой густой тягучий гель с нейтральным косметическим запахом. Аккуратно наношу на нос и подбородок. Втечение 15-20 минут  пленка высыхает, кожа немного стягивается. Снимать маску проблем не соста...
5;Покупала маску на сайте за 53 руб. Очень хорошая цена. Качество тоже отличное. Маска имеет удобное лекало и она очень сильно пропитана. На упаковке указано 30 мл. Хватило бы и на два раза. Но я так не делаю. Использую маску в один прием, как и положено. Остатки жидкости распределяю на руки и зону декольте. Ткать лекала не толстая. Кожа лица после маски хорошо увлажнена и напитана! Супер!
5;Маска классная! Увлажняет прекрасно. Но эффект не долговременный. На упаковке написано, что она с экстрактом кокоса. Поэтому я ее и взяла. Но она не пахнет кокосом. У маски просто приятный сладкий запах. После маски пощипывало лицо.  Не знаю, с чем это связано? Может просто совпадение.
